G,H,L,HL,O
0,0,17,2,2
68,4,19,0,1
57,37,17,13,24
30,9,3,2,2
5,3,9,0,1
7,7,2,4,4
50,3,1,0,2
53,17,0,6,4
11,16,4,1,3
49,5,69,8,1
22,8,0,2,2
18,11,2,13,7
20,20,0,3,2
5,4,0,2,0
27,14,0,2,2
26,4,0,0,0
2,0,12,0,0
80,27,0,4,11
11,9,0,0,2
66,7,0,0,0
8,5,3,0,0
9,1,0,0,3
38,23,1,1,2
17,5,0,0,2
27,3,0,0,1
46,12,0,0,3
12,0,0,0,0
22,16,0,1,2
13,3,1,0,1
7,8,0,0,6
17,8,0,0,0
2,6,0,0,2
41,9,2,1,1
10,3,0,1,0
18,2,0,0,1
18,3,0,0,0
18,2,2,2,2
2,9,16,3,3
46,28,4,1,2
24,5,0,1,4
12,9,0,0,0
9,0,0,0,2
47,29,7,10,11
22,18,0,2,0
10,7,0,1,0
23,6,4,7,2
27,11,2,5,5
19,2,0,0,0
3,3,16,0,3
12,4,1,0,1
27,5,0,0,0
16,5,0,0,0
34,14,1,1,4
1,0,17,0,0
7,4,1,1,0
14,16,2,1,7
3,0,9,1,5
29,0,0,0,0
14,6,1,0,7
31,12,0,1,6
14,2,0,0,0
17,4,0,0,0
50,25,0,0,4
17,10,0,0,0
24,7,0,0,1
8,4,1,1,0
15,9,1,0,0
1,0,7,0,2
7,3,2,14,0
7,5,0,0,1
10,5,0,1,1
17,13,3,8,5
87,23,2,6,16
55,38,1,2,4
5,1,4,0,0
26,13,1,1,10
26,16,0,1,3
10,2,0,3,0
12,6,0,5,4
